Date,Open,High,Low,Close,Volume,Adj Close
2016-10-28,78.30,78.40,77.45,77.90,2908200,77.33
2016-10-27,78.60,78.70,78.00,78.25,1542700,77.677
2016-10-26,78.55,78.90,78.45,78.60,1577700,78.025
2016-10-25,79.80,79.80,78.70,78.70,2172800,78.124
2016-10-24,78.90,79.70,78.20,79.70,3779700,79.117
2016-10-21,78.20,78.20,78.20,78.20,000,77.628
2016-10-20,78.00,78.25,77.75,78.20,1737000,77.628
2016-10-19,77.55,78.00,77.35,77.70,1821500,77.131
2016-10-18,77.25,77.80,77.20,77.50,1609500,76.933
2016-10-17,77.70,77.70,76.80,77.35,1963400,76.784
2016-10-14,77.05,77.50,76.60,77.45,2524900,76.883
2016-10-13,77.40,77.80,76.50,76.50,5146100,75.94
2016-10-12,77.20,78.00,77.20,77.80,2487700,77.231
2016-10-11,78.30,79.05,77.35,77.35,4405900,76.784
2016-10-10,78.50,78.50,78.50,78.50,000,77.926
2016-10-07,78.55,78.95,78.50,78.50,2594700,77.926
2016-10-06,79.10,79.50,78.70,78.70,2865100,78.124
2016-10-05,79.55,79.90,79.05,79.10,2530300,78.521
2016-10-04,79.95,80.30,79.50,79.55,2590600,78.968
2016-10-03,80.40,80.75,80.15,80.30,2298400,79.712
2016-09-30,79.85,80.15,79.50,80.15,4817200,79.564
2016-09-29,80.75,80.75,80.00,80.15,1587400,79.564
2016-09-28,80.05,80.30,79.60,80.30,1229900,79.712
2016-09-27,79.50,80.25,79.50,80.25,2288200,79.663
2016-09-26,80.00,80.40,79.50,79.50,2025100,78.918
2016-09-23,80.75,80.75,79.60,80.25,3358800,79.663
2016-09-22,80.35,80.70,79.90,80.60,2130400,80.01
2016-09-21,79.90,80.20,79.70,79.85,1779500,79.266
2016-09-20,79.80,80.45,79.35,80.20,2946300,79.613
2016-09-19,80.45,80.45,78.95,79.60,3503400,79.018
2016-09-16,78.70,78.70,78.70,78.70,000,78.124
2016-09-15,78.50,79.10,78.50,78.70,3195000,78.124
2016-09-14,78.45,79.20,78.40,78.45,3208500,77.876
2016-09-13,79.35,79.85,78.45,78.45,3033300,77.876
2016-09-12,80.20,80.50,79.30,79.30,4670100,78.72
2016-09-09,80.60,81.00,80.30,81.00,2894800,80.407
2016-09-08,80.40,80.70,80.00,80.65,2554900,80.06
2016-09-07,80.35,80.50,79.80,80.20,2484400,79.613
2016-09-06,80.00,80.50,79.50,79.50,1490500,78.918
2016-09-05,80.70,80.70,80.05,80.15,1777700,79.564
2016-09-02,79.65,80.25,79.20,80.00,2681200,79.415
2016-09-01,79.50,80.60,79.50,79.90,2472700,78.75
2016-08-31,80.25,80.60,79.55,79.55,2156000,78.405
2016-08-30,79.95,80.70,79.85,80.10,2935500,78.947
2016-08-29,80.95,80.95,79.40,79.55,2420300,78.405
2016-08-26,80.85,81.20,80.40,81.00,3449100,79.834
2016-08-25,79.35,80.45,79.35,80.35,2753200,79.193
2016-08-24,80.00,80.00,79.25,79.25,1838500,78.109
2016-08-23,79.30,80.00,79.15,79.85,2080200,78.70
2016-08-22,79.40,79.70,78.60,79.15,2009300,78.01
2016-08-19,79.55,79.70,79.15,79.70,2141600,78.552
2016-08-18,78.85,80.45,78.85,79.35,3168300,78.207
2016-08-17,79.75,80.45,79.65,79.65,1910200,78.503
2016-08-16,80.80,80.85,79.80,80.00,2216000,78.848
2016-08-15,80.55,81.00,80.25,80.45,2168500,79.292
2016-08-12,81.25,81.30,80.40,80.80,2632200,79.637
2016-08-11,80.30,80.90,80.05,80.50,3024400,79.341
2016-08-10,80.40,80.80,79.70,80.00,2230700,78.848
2016-08-09,81.30,81.30,79.75,80.15,2330800,78.996
2016-08-08,80.00,80.85,79.80,80.70,3021300,79.538
2016-08-05,79.10,80.00,78.70,79.70,2834500,78.552
2016-08-04,79.00,79.40,78.55,78.55,2340400,77.419
2016-08-03,80.80,81.00,78.50,79.00,7916900,77.862
2016-08-02,82.00,82.00,82.00,82.00,000,80.819
2016-08-01,80.80,82.10,80.55,82.00,3418400,80.819
2016-07-29,80.90,81.75,80.05,80.80,5068700,79.637
2016-07-28,81.70,82.20,81.20,81.75,3705400,80.573
2016-07-27,84.20,84.35,80.80,82.20,5279800,81.016
2016-07-26,84.00,84.15,83.00,83.90,4454100,82.692
2016-07-25,82.75,83.00,81.95,83.00,2985100,81.805
2016-07-22,80.60,82.00,80.40,81.95,3109600,80.77
2016-07-21,81.10,81.20,80.60,81.00,2986900,79.834
2016-07-20,81.35,81.45,80.90,81.20,2840500,80.031
2016-07-19,80.30,81.00,80.30,81.00,2161200,79.834
2016-07-18,80.40,80.95,80.25,80.40,2241000,79.242
2016-07-15,79.70,80.65,79.45,80.45,3226700,79.292
2016-07-14,79.45,80.25,79.05,80.00,3184000,78.848
2016-07-13,79.90,79.90,78.65,79.20,3948300,78.06
2016-07-12,79.70,79.85,79.15,79.65,3337000,78.503
2016-07-11,79.45,79.90,79.10,79.35,3079500,78.207
2016-07-08,80.00,80.00,78.80,78.90,2801600,77.764
2016-07-07,79.95,79.95,79.35,79.75,1916000,78.602
2016-07-06,80.00,80.00,78.70,79.80,4733900,78.651
2016-07-05,78.80,79.50,78.35,78.95,2918100,77.813
2016-07-04,79.75,80.00,78.50,79.65,4709800,78.503
2016-07-01,79.00,79.00,79.00,79.00,000,77.862
2016-06-30,79.95,79.95,78.05,79.00,7137500,77.862
2016-06-29,77.00,79.30,76.95,79.25,6239600,78.109
2016-06-28,75.45,76.65,75.35,76.50,4052300,75.398
2016-06-27,75.40,76.40,74.95,75.85,3012700,74.758
2016-06-24,75.60,77.00,74.05,76.10,6723700,75.004
2016-06-23,76.60,76.60,75.60,75.95,1967100,74.856
2016-06-22,76.60,76.65,75.95,76.30,3170000,75.201
2016-06-21,76.65,76.70,76.00,76.20,2372300,75.103
2016-06-20,75.90,76.40,74.95,76.00,3461400,74.906
2016-06-17,75.55,76.00,74.85,74.90,4179900,73.822
2016-06-16,77.00,77.00,75.25,75.45,3830600,74.364
2016-06-15,74.35,76.90,74.30,76.40,4473300,75.30
2016-06-14,75.00,76.50,74.90,75.10,3993200,74.019
2016-06-13,75.80,76.05,75.00,75.15,3944800,74.068
2016-06-10,77.00,77.00,76.25,76.60,3874600,75.497
2016-06-09,76.55,76.55,76.55,76.55,000,75.448
2016-06-08,76.35,76.70,76.00,76.55,7384600,75.448
2016-06-07,74.35,75.35,74.35,75.30,4051900,74.216
2016-06-06,74.20,74.50,73.40,74.35,2705000,73.279
2016-06-03,73.70,74.20,73.40,73.80,4680000,72.737
2016-06-02,72.05,73.35,72.00,73.35,3327700,72.294
2016-06-01,72.25,72.55,71.55,71.95,6867600,70.914
2016-05-31,72.55,73.90,72.55,73.30,21014400,71.683
2016-05-30,73.20,73.35,72.25,72.75,2771300,71.145
2016-05-27,72.85,73.15,72.05,73.10,2953900,71.487
2016-05-26,72.30,72.80,71.75,72.70,3086900,71.096
2016-05-25,72.45,72.75,71.95,72.60,3918600,70.998
2016-05-24,71.90,71.90,71.20,71.65,3394800,70.069
