Date,Open,High,Low,Close,Volume,Adj Close
2016-11-16,203.40,203.40,203.40,203.40,000,203.40
2016-11-15,203.20,203.20,203.20,203.20,100,203.20
2016-11-14,201.00,201.00,201.00,201.40,100,201.40
2016-11-11,204.40,204.40,204.40,204.40,000,204.40
2016-11-10,206.80,206.80,206.80,206.80,500,206.80
2016-11-09,201.60,201.60,198.40,201.80,1100,201.80
2016-11-08,236.60,236.60,234.80,235.60,3100,235.60
2016-11-07,233.80,235.00,233.80,235.00,9600,235.00
2016-11-04,233.20,233.60,232.80,233.00,8300,233.00
2016-11-03,234.40,235.00,233.80,234.00,2200,234.00
2016-11-02,235.40,235.40,234.60,234.60,7800,234.60
2016-11-01,238.00,239.20,238.00,238.20,16800,238.20
2016-10-31,230.00,237.20,230.00,236.00,1700,236.00
2016-10-28,237.00,237.00,235.00,236.20,4900,236.20
2016-10-27,240.00,240.00,236.60,237.40,6100,237.40
2016-10-26,239.20,240.80,239.20,239.20,97700,239.20
2016-10-25,241.20,242.40,241.20,242.40,5900,242.40
2016-10-24,240.80,242.60,238.60,242.40,10200,242.40
2016-10-21,240.80,240.80,240.80,240.80,000,240.80
2016-10-20,240.00,241.20,239.60,240.80,50400,240.80
2016-10-19,239.60,239.80,239.00,239.20,9000,239.20
2016-10-14,239.20,245.00,238.80,240.00,12700,240.00
2016-10-13,240.00,240.20,236.40,236.60,28200,236.60
2016-10-12,239.60,240.80,239.40,240.80,49100,240.80
2016-10-11,246.00,253.20,240.00,241.20,29800,241.20
2016-10-07,245.60,245.80,244.00,244.60,33200,244.60
2016-10-06,244.60,246.00,244.00,245.60,25400,245.60
2016-10-05,241.80,244.40,241.00,243.60,44900,243.60
2016-10-04,241.80,243.00,241.60,242.80,13600,242.80
2016-10-03,242.00,242.00,241.60,241.80,1500,241.80
2016-09-30,240.60,240.60,238.60,238.60,11900,238.60
2016-09-29,242.20,243.80,242.00,243.80,9900,243.80
2016-09-28,240.20,240.20,239.40,241.60,5400,241.60
2016-09-27,239.60,242.80,239.60,242.20,46700,242.20
2016-09-26,241.00,241.00,239.00,239.60,9400,239.60
2016-09-23,243.40,244.20,242.00,242.80,62500,242.80
2016-09-22,244.80,246.80,243.00,243.60,58800,243.60
2016-09-21,243.00,243.20,243.00,243.20,1800,243.20
2016-09-20,240.40,242.00,239.80,242.00,38100,242.00
2016-09-19,240.40,242.00,240.00,241.80,55100,241.80
2016-09-15,238.00,240.40,238.00,240.40,24200,240.40
2016-09-14,237.60,239.80,237.40,238.00,16500,238.00
2016-09-13,242.40,243.00,237.80,238.00,47200,238.00
2016-09-12,243.20,243.20,239.20,239.20,12600,239.20
2016-09-09,245.20,248.80,244.60,247.60,80500,247.60
2016-09-08,243.00,244.40,242.80,244.20,41000,244.20
2016-09-07,243.40,243.40,242.40,243.00,16300,243.00
2016-09-06,242.60,243.40,241.00,243.40,43500,243.40
2016-09-05,240.00,242.00,240.00,242.00,25100,242.00
2016-09-02,236.80,238.40,236.80,237.60,55800,237.60
2016-09-01,238.00,238.00,235.80,237.20,11200,237.20
2016-08-31,235.20,235.20,234.40,234.80,35100,234.80
2016-08-30,235.00,235.60,234.40,235.40,7200,235.40
2016-08-29,233.20,233.40,233.00,233.40,1700,233.40
2016-08-26,234.60,234.60,234.20,234.40,3300,234.40
2016-08-25,233.00,233.20,232.80,233.20,13900,233.20
2016-08-24,233.40,233.40,232.40,233.00,8300,233.00
2016-08-23,233.80,234.80,233.80,234.80,7800,234.80
2016-08-22,233.80,234.00,232.80,234.00,24300,234.00
2016-08-19,235.00,235.00,234.00,234.20,3600,234.20
2016-08-18,234.60,236.80,234.60,234.80,24600,234.80
2016-08-17,234.20,235.00,232.60,232.60,18000,232.60
2016-08-16,235.00,235.60,233.60,234.00,28800,234.00
2016-08-15,232.80,234.60,232.80,234.00,24300,234.00
2016-08-12,233.00,233.00,232.00,232.40,3900,232.40
2016-08-11,230.40,231.00,229.80,230.60,18600,230.60
2016-08-10,229.80,230.40,228.60,228.80,3700,228.80
2016-08-09,229.00,229.60,228.00,229.20,5600,229.20
2016-08-08,215.00,229.80,215.00,229.20,69800,229.20
2016-08-05,224.00,226.20,223.80,226.20,5100,226.20
2016-08-04,222.60,223.20,222.20,222.60,6400,222.60
2016-08-03,223.00,223.00,221.40,222.20,15600,222.20
2016-08-02,226.00,226.00,226.00,226.00,000,226.00
2016-08-01,225.40,226.80,225.00,226.00,17200,226.00
2016-07-29,225.00,226.00,222.60,222.60,25500,222.60
2016-07-28,225.80,226.00,225.60,225.80,4900,225.80
2016-07-27,226.40,226.80,225.20,225.80,7400,225.80
2016-07-26,224.00,227.00,224.00,225.20,23100,225.20
2016-07-25,224.00,224.00,223.20,223.80,19800,223.80
2016-07-22,222.40,224.20,222.40,224.20,28500,224.20
2016-07-21,222.80,225.20,222.80,224.60,22700,224.60
2016-07-20,221.60,223.40,221.60,223.20,13500,223.20
2016-07-19,221.00,221.60,220.60,221.00,6700,221.00
2016-07-18,220.80,222.40,220.80,222.00,14400,222.00
2016-07-15,219.60,221.40,219.60,220.80,30500,220.80
2016-07-14,217.20,220.00,216.60,219.80,30100,219.80
2016-07-13,217.60,218.40,217.00,217.00,8100,217.00
2016-07-12,214.00,216.60,214.00,216.20,12800,216.20
2016-07-11,213.00,214.60,212.80,213.40,11900,213.40
2016-07-08,211.40,211.40,209.00,209.00,22100,209.00
2016-07-07,211.20,212.00,210.40,211.40,7000,211.40
2016-07-06,208.60,210.00,207.40,209.80,77500,209.80
2016-07-05,212.60,212.80,211.40,212.00,30800,212.00
2016-07-04,212.40,215.60,212.00,214.40,27800,214.40
2016-06-30,210.00,212.80,210.00,211.60,30400,211.60
2016-06-29,207.20,209.00,206.20,208.40,5900,208.40
2016-06-28,204.00,206.00,203.40,206.00,10700,206.00
2016-06-27,206.00,206.00,204.20,206.00,24000,206.00
2016-06-24,213.00,214.00,200.40,206.40,63400,206.40
2016-06-23,216.40,218.00,215.80,217.80,31400,213.00
2016-06-22,213.00,216.80,213.00,216.60,8700,211.83
2016-06-21,213.00,214.00,212.60,213.20,23800,208.50
2016-06-20,209.00,212.20,209.00,212.00,22000,207.33
2016-06-17,209.40,209.40,208.60,209.00,16100,204.39
2016-06-16,210.00,210.00,207.00,207.40,25500,202.83
2016-06-15,209.60,213.00,209.00,211.20,6500,206.55
2016-06-14,212.00,212.60,210.40,211.20,8000,206.55
2016-06-13,213.60,213.60,211.00,212.00,9700,207.33
2016-06-10,218.00,218.40,217.40,217.60,34500,212.80
2016-06-08,219.40,220.00,219.20,219.60,32900,214.76
2016-06-07,216.80,220.00,216.80,220.00,34500,215.15
2016-06-06,215.80,216.80,215.00,216.80,7300,212.02
2016-06-02,214.00,214.60,214.00,214.60,27400,209.87
2016-06-01,214.60,214.60,213.40,213.80,8700,209.09
2016-05-31,214.00,215.60,213.80,214.60,17200,209.87
2016-05-30,211.20,213.00,210.40,212.60,15300,207.91
2016-05-27,208.80,211.80,208.60,211.20,57000,206.55
2016-05-26,209.40,210.00,208.40,209.60,2800,204.98
2016-05-25,208.00,209.40,207.60,209.40,6400,204.79
2016-05-24,204.40,204.40,203.00,203.80,10800,199.31
2016-05-23,207.00,207.00,203.20,203.20,11900,198.72
2016-05-20,202.80,205.80,202.60,204.80,4400,200.29
2016-05-19,203.00,203.40,202.00,202.80,21900,198.33
2016-05-18,204.00,204.00,203.00,203.60,14200,199.11
2016-05-17,204.80,206.00,204.00,206.00,6500,201.46
2016-05-16,203.00,204.00,203.00,203.40,8400,198.92
2016-05-13,203.20,203.40,201.00,201.40,11700,196.96
2016-05-12,210.00,210.00,203.40,203.40,18900,198.92
2016-05-11,210.00,210.00,205.00,205.00,15900,200.48
2016-05-10,205.40,208.00,205.40,208.00,23400,203.42
2016-05-09,205.20,206.60,205.20,206.20,8200,201.66
2016-05-06,207.60,207.60,204.80,205.20,43500,200.68
2016-05-05,208.00,209.40,207.40,209.00,43400,204.39
2016-05-04,210.00,210.20,208.60,209.40,9600,204.79
2016-05-03,213.60,213.60,211.00,211.00,15500,206.35
2016-04-29,218.20,218.20,214.40,214.40,32300,209.67
2016-04-28,219.80,220.80,217.20,218.20,20600,213.39
2016-04-27,219.00,219.00,217.60,218.20,41000,213.39
2016-04-26,217.20,218.40,215.60,218.40,25600,213.59
2016-04-25,218.60,218.60,217.00,217.20,53500,212.41
2016-04-22,220.00,220.00,218.20,219.20,12700,214.37
2016-04-21,218.20,220.60,218.20,220.60,53600,215.74
2016-04-20,217.80,218.20,215.60,216.80,37900,212.02
2016-04-19,218.80,219.00,217.80,219.00,12600,214.17
2016-04-15,217.80,218.20,217.20,218.00,3400,213.20
2016-04-14,218.60,219.40,217.40,217.80,87200,213.00
2016-04-13,212.20,216.20,211.60,216.00,35200,211.24
2016-04-12,209.40,209.80,208.80,209.40,1800,204.79
2016-04-11,207.80,209.60,207.00,208.80,12300,204.20
2016-04-08,204.80,207.20,204.80,207.80,12800,203.22
2016-04-07,208.00,208.00,206.40,206.80,7800,202.24
2016-04-06,206.00,207.00,205.80,206.40,2600,201.85
2016-04-05,206.60,206.80,205.80,205.80,7000,201.26
2016-04-01,212.40,212.40,209.00,209.40,4400,204.79
2016-03-31,212.40,212.40,211.60,212.00,43500,207.33
2016-03-30,211.40,212.40,211.00,212.40,12100,207.72
2016-03-29,207.40,207.80,207.40,207.80,3700,203.22
2016-03-24,209.20,209.20,207.00,207.20,15800,202.63
2016-03-23,210.80,210.80,210.00,210.20,4300,205.57
2016-03-22,211.40,211.80,210.40,210.40,12100,205.76
2016-03-21,211.00,211.80,210.60,211.20,37100,206.55
2016-03-18,210.00,211.00,210.00,210.60,37300,205.96
2016-03-17,210.00,210.00,208.60,209.00,27900,204.39
2016-03-16,208.00,208.20,206.80,207.00,1600,202.44
2016-03-15,208.00,208.00,207.00,207.40,5100,202.83
2016-03-14,207.40,209.00,207.40,208.20,17800,203.61
2016-03-11,204.40,206.80,204.40,206.60,4500,202.05
2016-03-10,205.60,206.00,203.80,203.80,10100,199.31
2016-03-09,204.60,204.60,202.80,204.40,3000,199.90
2016-03-08,203.20,204.40,203.20,204.00,14700,199.50
2016-03-07,206.60,207.00,205.40,205.60,29800,201.07
2016-03-04,204.00,206.00,204.00,205.80,11000,201.26
2016-03-03,205.00,205.00,201.80,202.80,214200,198.33
2016-03-02,201.40,204.00,201.40,203.20,38800,198.72
2016-03-01,195.40,197.20,194.30,197.20,14800,192.85
2016-02-29,196.80,196.80,194.00,194.60,22300,190.31
2016-02-26,195.40,198.10,195.40,198.10,13100,193.73
2016-02-25,195.50,196.20,193.00,193.00,6800,188.75
2016-02-24,197.90,197.90,195.10,195.50,13600,191.19
2016-02-23,198.90,199.00,197.30,198.30,14300,193.93
2016-02-22,197.60,199.00,197.00,197.90,18200,193.54
2016-02-19,196.70,196.70,195.50,195.80,15100,191.48
2016-02-18,197.30,197.90,196.50,196.70,10100,192.37
2016-02-17,193.00,196.20,193.00,193.30,27300,189.04
2016-02-16,193.70,196.40,193.50,195.20,8600,190.90
2016-02-15,189.00,193.00,189.00,193.00,10300,188.75
2016-02-12,191.00,191.00,187.10,187.20,13400,183.07
2016-02-11,189.00,200.40,188.20,189.10,25900,184.93
2016-02-05,197.00,197.90,196.10,196.60,14900,192.27
2016-02-04,195.70,196.80,195.50,195.90,19200,191.58
2016-02-03,192.40,195.00,191.60,193.70,18200,189.43
2016-02-02,199.30,199.30,197.90,198.70,21700,194.32
